source_taxon_external_id,source_taxon_name,source_taxon_path,interaction_type,target_taxon_external_id,target_taxon_name,target_taxon_path
EOL:468563,Schizophthirus graphiuri,Animalia | Arthropoda | Insecta | Phthiraptera | Hoplopleuridae | Schizophthirus | Schizophthirus graphiuri,parasiteOf,EOL:42255,Graphiurus,Animalia | Chordata | Mammalia | Rodentia | Myoxidae | Graphiurus
EOL:477383,Hoplopleura hispida,Animalia | Arthropoda | Insecta | Phthiraptera | Hoplopleuridae | Hoplopleura | Hoplopleura hispida,parasiteOf,EOL:328419,Lemmus sibiricus,Animalia | Chordata | Mammalia | Rodentia | Muridae | Lemmus | Lemmus sibiricus
EOL:473742,Haemodipsus leporis,Animalia | Arthropoda | Insecta | Phthiraptera | Polyplacidae | Haemodipsus | Haemodipsus leporis,parasiteOf,EOL:133022,Lepus timidus,Animalia | Chordata | Mammalia | Lagomorpha | Leporidae | Lepus | Lepus timidus
EOL:470750,Enderleinellus dolichocephalus,Animalia | Arthropoda | Insecta | Phthiraptera | Enderleinellidae | Enderleinellus | Enderleinellus dolichocephalus,parasiteOf,EOL:312105,Marmota camtschatica,Animalia | Chordata | Mammalia | Rodentia | Sciuridae | Marmota | Marmota camtschatica
EOL:469858,Linognathoides relictus,Animalia | Arthropoda | Insecta | Phthiraptera | Polyplacidae | Linognathoides | Linognathoides relictus,parasiteOf,EOL:15104,Spermophilus,Animalia | Chordata | Mammalia | Rodentia | Sciuridae | Spermophilus
EOL:466907,Neohaematopinus neotomae,Animalia | Arthropoda | Insecta | Phthiraptera | Polyplacidae | Neohaematopinus | Neohaematopinus neotomae,parasiteOf,EOL:1179905,Hodomys alleni,Animalia | Chordata | Mammalia | Rodentia | Muridae | Hodomys | Hodomys alleni
EOL:473599,Hoplopleura orinocoi,Animalia | Arthropoda | Insecta | Phthiraptera | Hoplopleuridae | Hoplopleura | Hoplopleura orinocoi,parasiteOf,EOL:326967,Mesomys hispidus,Animalia | Chordata | Mammalia | Rodentia | Echimyidae | Mesomys | Mesomys hispidus
EOL:470137,Hoplopleura handleyi,Animalia | Arthropoda | Insecta | Phthiraptera | Hoplopleuridae | Hoplopleura | Hoplopleura handleyi,parasiteOf,EOL:1179934,Neacomys tenuipes,Animalia | Chordata | Mammalia | Rodentia | Muridae | Neacomys | Neacomys tenuipes
EOL:400079,Hoplopleura ochotonae,Animalia | Arthropoda | Insecta | Phthiraptera | Hoplopleuridae | Hoplopleura | Hoplopleura ochotonae,parasiteOf,EOL:122420,Ochotona thibetana,Animalia | Chordata | Mammalia | Lagomorpha | Ochotonidae | Ochotona | Ochotona thibetana
EOL:400079,Hoplopleura ochotonae,Animalia | Arthropoda | Insecta | Phthiraptera | Hoplopleuridae | Hoplopleura | Hoplopleura ochotonae,parasiteOf,EOL:124581,Ochotona roylei,Animalia | Chordata | Mammalia | Lagomorpha | Ochotonidae | Ochotona | Ochotona roylei
